phi,x,y
10.050000,-6.302549,-4.549319
10.100000,-6.480413,-5.189445
10.150000,-6.538823,-5.795683
10.200000,-6.454706,-6.324658
10.250000,-6.218572,-6.734694
10.300000,-5.838866,-6.994741
10.350000,-5.341546,-7.091384
10.400000,-4.764575,-7.030930
10.450000,-4.149638,-6.835942
10.500000,-3.534415,-6.538314
10.550000,-2.947785,-6.171972
10.600000,-2.408422,-5.767486
10.650000,-1.925863,-5.349306
10.700000,-1.502726,-4.935164
10.750000,-1.137066,-4.536777
10.800000,-0.824340,-4.161096
10.850000,-0.558823,-3.811595
10.900000,-0.334515,-3.489386
10.950000,-0.145668,-3.194071
11.000000,0.012942,-2.924356
11.050000,0.145922,-2.678472
11.100000,0.257243,-2.454448
11.150000,0.350290,-2.250282
11.200000,0.427920,-2.064038
11.250000,0.492533,-1.893908
11.300000,0.546138,-1.738229
11.350000,0.590418,-1.595499
11.400000,0.626778,-1.464366
11.450000,0.656396,-1.343627
11.500000,0.680258,-1.232211
11.550000,0.699193,-1.129167
11.600000,0.713897,-1.033654
11.650000,0.724958,-0.944925
11.700000,0.732871,-0.862321
11.750000,0.738058,-0.785253
11.800000,0.740874,-0.713203
11.850000,0.741622,-0.645706
11.900000,0.740562,-0.582351
11.950000,0.737912,-0.522770
12.000000,0.733863,-0.466634
12.050000,0.728574,-0.413650
12.100000,0.722185,-0.363554
12.150000,0.714814,-0.316110
12.200000,0.706562,-0.271103
12.250000,0.697517,-0.228344
12.300000,0.687754,-0.187657
12.350000,0.677337,-0.148887
12.400000,0.666320,-0.111890
12.450000,0.654750,-0.076539
12.500000,0.642667,-0.042717
12.550000,0.630103,-0.010316
12.600000,0.617086,0.020760
12.650000,0.603640,0.050600
12.700000,0.589783,0.079285
12.750000,0.575529,0.106888
12.800000,0.560890,0.133478
12.850000,0.545873,0.159115
12.900000,0.530484,0.183858
12.950000,0.514724,0.207757
13.000000,0.498595,0.230860
13.050000,0.482093,0.253211
13.100000,0.465213,0.274849
13.150000,0.447949,0.295811
13.200000,0.430291,0.316130
13.250000,0.412230,0.335836
13.300000,0.393750,0.354956
13.350000,0.374839,0.373515
13.400000,0.355478,0.391536
13.450000,0.335649,0.409037
13.500000,0.315330,0.426036
13.550000,0.294498,0.442548
13.600000,0.273126,0.458585
13.650000,0.251187,0.474158
13.700000,0.228650,0.489275
13.750000,0.205481,0.503942
13.800000,0.181643,0.518162
13.850000,0.157097,0.531936
13.900000,0.131799,0.545263
13.950000,0.105702,0.558137
14.000000,0.078755,0.570552
14.050000,0.050904,0.582498
14.100000,0.022086,0.593959
14.150000,-0.007763,0.604920
14.200000,-0.038716,0.615358
14.250000,-0.070849,0.625247
14.300000,-0.104250,0.634556
14.350000,-0.139010,0.643247
14.400000,-0.175231,0.651279
14.450000,-0.213027,0.658600
14.500000,-0.252519,0.665151
14.550000,-0.293842,0.670866
14.600000,-0.337145,0.675665
14.650000,-0.382591,0.679457
14.700000,-0.430363,0.682138
14.750000,-0.480660,0.683586
14.800000,-0.533703,0.683662
14.850000,-0.589741,0.682202
14.900000,-0.649047,0.679020
14.950000,-0.711926,0.673897
15.000000,-0.778720,0.666579
15.050000,-0.849810,0.656773
15.100000,-0.925623,0.644133
15.150000,-1.006637,0.628258
15.200000,-1.093390,0.608677
15.250000,-1.186484,0.584836
15.300000,-1.286599,0.556083
15.350000,-1.394494,0.521652
15.400000,-1.511027,0.480632
15.450000,-1.637157,0.431950
15.500000,-1.773955,0.374330
15.550000,-1.922617,0.306254
15.600000,-2.084461,0.225924
15.650000,-2.260931,0.131198
15.700000,-2.453582,0.019539
15.750000,-2.664050,-0.112054
15.800000,-2.893990,-0.267108
15.850000,-3.144979,-0.449731
15.900000,-3.418344,-0.664638
15.950000,-3.714899,-0.917121
16.000000,-4.034550,-1.212916
16.050000,-4.375724,-1.557890
16.100000,-4.734588,-1.957458
16.150000,-5.104045,-2.415597
16.200000,-5.472598,-2.933352
16.250000,-5.823280,-3.506789
16.300000,-6.133135,-4.124592
16.350000,-6.373908,-4.765863
16.400000,-6.514744,-5.399198
16.450000,-6.527252,-5.984389
16.500000,-6.392232,-6.477671
16.550000,-6.105939,-6.839962
16.600000,-5.683032,-7.045560
16.650000,-5.154324,-7.087742
16.700000,-4.559995,-6.978903
16.750000,-3.941130,-6.745599
16.800000,-3.332807,-6.421157
16.850000,-2.760481,-6.038847
16.900000,-2.239552,-5.627366
16.950000,-1.776957,-5.208887
17.000000,-1.373530,-4.799000
17.050000,-1.026262,-4.407671
17.100000,-0.730079,-4.040544
17.150000,-0.479085,-3.700188
17.200000,-0.267321,-3.387123
17.250000,-0.089196,-3.100592
17.300000,0.060313,-2.839103
17.350000,0.185596,-2.600795
17.400000,0.290422,-2.383671
17.450000,0.377989,-2.185742
17.500000,0.450994,-2.005112
17.550000,0.511698,-1.840019
17.600000,0.561995,-1.688855
17.650000,0.603466,-1.550168
17.700000,0.637438,-1.422658
17.750000,0.665019,-1.305167
17.800000,0.687138,-1.196667
17.850000,0.704578,-1.096245
17.900000,0.717997,-1.003092
17.950000,0.727948,-0.916493
18.000000,0.734901,-0.835813
18.050000,0.739253,-0.760488
18.100000,0.741342,-0.690017
18.150000,0.741456,-0.623957
18.200000,0.739838,-0.561910
18.250000,0.736698,-0.503522
18.300000,0.732215,-0.448478
18.350000,0.726542,-0.396493
18.400000,0.719810,-0.347314
18.450000,0.712133,-0.300712
18.500000,0.703605,-0.256482
18.550000,0.694311,-0.214438
18.600000,0.684321,-0.174412
18.650000,0.673697,-0.136254
18.700000,0.662489,-0.099824
18.750000,0.650742,-0.065000
18.800000,0.638494,-0.031667
18.850000,0.625775,0.000278
18.900000,0.612611,0.030929
18.950000,0.599025,0.060372
19.000000,0.585033,0.088685
19.050000,0.570648,0.115940
19.100000,0.555881,0.142203
19.150000,0.540739,0.167533
19.200000,0.525225,0.191987
19.250000,0.509341,0.215613
19.300000,0.493087,0.238458
19.350000,0.476458,0.260565
19.400000,0.459450,0.281972
19.450000,0.442055,0.302714
19.500000,0.424263,0.322824
19.550000,0.406062,0.342330
19.600000,0.387440,0.361259
19.650000,0.368379,0.379635
19.700000,0.348863,0.397478
19.750000,0.328872,0.414809
19.800000,0.308383,0.431642
19.850000,0.287372,0.447993
19.900000,0.265813,0.463873
19.950000,0.243677,0.479292
20.000000,0.220931,0.494258
