A,B,x
-20,2,0.0999500748503429
-20,3,0.14983181698150091
-20,4,0.19960238097427088
-20,5,0.24922598395730466
-20,6,0.29866790356837525
-20,7,0.34789470261152877
-20,8,0.3968744290772459
-20,9,0.44557678874498097
-20,10,0.49397328853113287
-20,11,0.5420373496875422
-20,12,0.5897443908503449
-20,13,0.6370718817484952
-20,14,0.6839993690771176
-20,15,0.7305084766049537
-20,16,0.7765828820094891
-20,17,0.8222082732188345
-20,18,0.8673722871944461
-20,19,0.9120644341272197
-20,20,0.9562760099588581
-20,21,1.0
-20,22,1.0432309762159437
-20,23,1.0859649905084805
-20,24,1.1281994660551289
-20,25,1.1699330884893204
-20,26,1.2111656984286119
-20,27,1.2518981865919738
-20,28,1.2921323924983072
-20,29,1.3318710075110736
-19,-30,-1.426249515970158
-19,-29,-1.3861413182027325
-19,-28,-1.3454855441603895
-19,-27,-1.304276219617506
-19,-26,-1.262508130578225
-19,-25,-1.2201769379937373
-19,-24,-1.177279301051955
-19,-23,-1.1338130086783702
-19,-22,-1.0897771186152545
-19,-21,-1.0451721031257892
-19,-20,-1.0
-19,-19,-0.9542645671230672
-19,-18,-0.9079714384098181
-19,-17,-0.8611282784225411
-19,-16,-0.8137449324884287
-19,-15,-0.7658335686394508
-19,-14,-0.7174088072387208
-19,-13,-0.6684878337665512
-19,-12,-0.619090489954176
-19,-11,-0.5692393383141434
-19,-10,-0.5189596951643807
-19,-9,-0.4682796275150848
-19,-8,-0.4172299097132378
-19,-7,-0.3658439365354474
-19,-6,-0.31415759048564074
-19,-5,-0.2622090623687047
-19,-4,-0.2100386257303103
-19,-3,-0.15768836740977696
-19,-2,-0.10520187815967799
-19,-1,-0.05262390894120397
-19,0,0.0
-19,1,0.05262390894120397
-19,2,0.10520187815967799
-19,3,0.15768836740977696
-19,4,0.2100386257303103
-19,5,0.2622090623687047
-19,6,0.31415759048564074
-19,7,0.3658439365354474
-19,8,0.4172299097132378
-19,9,0.4682796275150848
-19,10,0.5189596951643807
-19,11,0.5692393383141434
-19,12,0.619090489954176
-19,13,0.6684878337665512
-19,14,0.7174088072387208
-19,15,0.7658335686394508
-19,16,0.8137449324884287
-19,17,0.8611282784225411
-19,18,0.9079714384098181
-19,19,0.9542645671230672
-19,20,1.0
-19,21,1.0451721031257892
-19,22,1.0897771186152545
-19,23,1.1338130086783702
-19,24,1.177279301051955
-19,25,1.2201769379937373
-19,26,1.262508130578225
-19,27,1.304276219617506
-19,28,1.3454855441603895
-19,29,1.3861413182027325
-18,-30,-1.484806656062487
-18,-29,-1.4438789363803013
-18,-28,-1.4023440916710035
-18,-27,-1.3601929545492113
-18,-26,-1.3174170626607449
-18,-25,-1.27400879678598
-18,-24,-1.2299615325879403
-18,-23,-1.1852698061441438
-18,-22,-1.1399294930771895
-18,-21,-1.0939380006892154
-18,-20,-1.0472944720017192
-18,-19,-1.0
-18,-18,-0.9520578496806182
-18,-17,-0.9034736847074952
-18,-16,-0.8542557946131691
-18,-15,-0.8044153175629126
-18,-14,-0.7539664527702729
-18,-13,-0.7029266557664574
-18,-12,-0.6513168089500112
-18,-11,-0.5991613592566508
-18,-10,-0.5464884144793307
-18,-9,-0.49332978982471154
-18,-8,-0.4397209967961142
-18,-7,-0.3857011675085544
-18,-6,-0.3313129091022329
-18,-5,-0.2766020850189585
-18,-4,-0.22161752248296077
-18,-3,-0.1664106484702331
-18,-2,-0.11103505959349375
-18,-1,-0.05554603446550407
-18,0,0.0
-18,1,0.05554603446550407
-18,2,0.11103505959349375
-18,3,0.1664106484702331
-18,4,0.22161752248296077
-18,5,0.2766020850189585
-18,6,0.3313129091022329
-18,7,0.3857011675085544
-18,8,0.4397209967961142
-18,9,0.49332978982471154
-18,10,0.5464884144793307
-18,11,0.5991613592566508
-18,12,0.6513168089500112
-18,13,0.7029266557664574
-18,14,0.7539664527702729
-18,15,0.8044153175629126
-18,16,0.8542557946131691
-18,17,0.9034736847074952
-18,18,0.9520578496806182
-18,19,1.0
-18,20,1.0472944720017192
-18,21,1.0939380006892154
-18,22,1.1399294930771895
-18,23,1.1852698061441438
-18,24,1.2299615325879403
-18,25,1.27400879678598
-18,26,1.3174170626607449
-18,27,1.3601929545492113
-18,28,1.4023440916710035
-18,29,1.4438789363803013
-17,-30,-1.5469464699642195
-17,-29,-1.5052579136500945
-17,-28,-1.4628992408190649
-17,-27,-1.4198573448670595
-17,-26,-1.3761196891332654
-17,-25,-1.3316744658779438
-17,-24,-1.2865107754276366
-17,-23,-1.240618826584368
-17,-22,-1.1939901590801214
-17,-21,-1.1466178884103977
-17,-20,-1.0984969727773015
-17,-19,-1.0496245010909633
-17,-18,-1.0
-17,-17,-0.9496257567366261
-17,-16,-0.8985071531718726
-17,-15,-0.8466530049007436
-17,-14,-0.7940758974592036
-17,-13,-0.7407925099868169
-17,-12,-0.6868239148960824
-17,-11,-0.6321958405322344
-17,-10,-0.576938882577718
-17,-9,-0.5210886492692518
-17,-8,-0.46468582555555726
-17,-7,-0.4077761423181908
-17,-6,-0.3504102388495897
-17,-5,-0.2926434099976573
-17,-4,-0.23453523370417753
-17,-3,-0.17614907991550546
-17,-2,-0.1175515077237724
-17,-1,-0.058811563680130574
-17,0,0.0
-17,1,0.058811563680130574
-17,2,0.1175515077237724
-17,3,0.17614907991550546
-17,4,0.23453523370417753
-17,5,0.2926434099976573
-17,6,0.3504102388495897
-17,7,0.4077761423181908
-17,8,0.46468582555555726
-17,9,0.5210886492692518
-17,10,0.576938882577718
-17,11,0.6321958405322344
-17,12,0.6868239148960824
-17,13,0.7407925099868169
-17,14,0.7940758974592036
-17,15,0.8466530049007436
-17,16,0.8985071531718726
-17,17,0.9496257567366261
-17,18,1.0
-17,19,1.0496245010909633
-17,20,1.0984969727773015
-17,21,1.1466178884103977
-17,22,1.1939901590801214
-17,23,1.240618826584368
-17,24,1.2865107754276366
-17,25,1.3316744658779438
-17,26,1.3761196891332654
-17,27,1.4198573448670595
-17,28,1.4628992408190649
-17,29,1.5052579136500945
-16,-30,-1.6128045149381163
-16,-29,-1.570431983354695
-16,-28,-1.5273239519736674
-16,-27,-1.4834625861758295
-16,-26,-1.4388303792746187
-16,-25,-1.3934103247763594
-16,-24,-1.34718611643742
-16,-23,-1.300142378782032
-16,-22,-1.2522649305724105
-16,-21,-1.2035410833769713
-16,-20,-1.1539599768130968
-16,-19,-1.103512951193133
-16,-18,-1.0521939571191923
-16,-17,-1.0
-16,-16,-0.9469316154582524
-16,-15,-0.8929933691378381
-16,-14,-0.8381943715195549
-16,-13,-0.7825487950748546
-16,-12,-0.726076377559868
-16,-11,-0.6688028916882309
-16,-10,-0.6107605581229011
-16,-9,-0.5519883760836071
-16,-8,-0.49253234433544546
-16,-7,-0.4324455453907913
-16,-6,-0.37178806787071633
-16,-5,-0.3106267464646068
-16,-4,-0.2490347059184529
-16,-3,-0.18709070480094697
-16,-2,-0.12487828592460741
-16,-1,-0.06248475237590666
-16,0,0.0
-16,1,0.06248475237590666
-16,2,0.12487828592460741
-16,3,0.18709070480094697
-16,4,0.2490347059184529
-16,5,0.3106267464646068
-16,6,0.37178806787071633
-16,7,0.4324455453907913
-16,8,0.49253234433544546
-16,9,0.5519883760836071
-16,10,0.6107605581229011
-16,11,0.6688028916882309
-16,12,0.726076377559868
-16,13,0.7825487950748546
-16,14,0.8381943715195549
-16,15,0.8929933691378381
-16,16,0.9469316154582524
-16,17,1.0
-16,18,1.0521939571191923
-16,19,1.103512951193133
-16,20,1.1539599768130968
-16,21,1.2035410833769713
-16,22,1.2522649305724105
-16,23,1.300142378782032
-16,24,1.34718611643742
-16,25,1.3934103247763594
-16,26,1.4388303792746187
-16,27,1.4834625861758295
-16,28,1.5273239519736674
-16,29,1.570431983354695
-15,-30,-1.6824858883568492
-15,-29,-1.639525545003541
-15,-28,-1.5957634004372871
-15,-27,-1.551176114658592
-15,-26,-1.5057403002822118
-15,-25,-1.4594326934833655
-15,-24,-1.4122303605050628
-15,-23,-1.3641109446329336
-15,-22,-1.3150529587451547
-15,-21,-1.2650361285686695
-15,-20,-1.214041791536169
-15,-19,-1.1620533555390866
-15,-18,-1.1090568207888325
-15,-17,-1.055041366294869
-15,-16,-1.0
-15,-15,-0.9439302682442282
-15,-14,-0.886835015853849
-15,-13,-0.8287231827317718
-15,-12,-0.7696106164254582
-15,-11,-0.7095208729941598
-15,-10,-0.6484859710168894
-15,-9,-0.5865470564486386
-15,-8,-0.5237549301657372
-15,-7,-0.4601703865691578
-15,-6,-0.3958643117594187
-15,-5,-0.33091749468894915
-15,-4,-0.2654201151238167
-15,-3,-0.1994708883712077
-15,-2,-0.13317586785827024
-15,-1,-0.06664693111776433
-15,0,0.0
-15,1,0.06664693111776433
-15,2,0.13317586785827024
-15,3,0.1994708883712077
-15,4,0.2654201151238167
-15,5,0.33091749468894915
-15,6,0.3958643117594187
-15,7,0.4601703865691578
-15,8,0.5237549301657372
-15,9,0.5865470564486386
-15,10,0.6484859710168894
-15,11,0.7095208729941598
-15,12,0.7696106164254582
-15,13,0.8287231827317718
-15,14,0.886835015853849
-15,15,0.9439302682442282
-15,16,1.0
-15,17,1.055041366294869
-15,18,1.1090568207888325
-15,19,1.1620533555390866
-15,20,1.214041791536169
