omega,A
-10.000000000,0.36456891682110626
-9.900000000,0.37268533793303166
-9.800000000,0.38108484311284263
-9.700000000,0.389781215169667
-9.600000000,0.39878911854064175
-9.500000000,0.40812417078624863
-9.400000000,0.4178030212715683
-9.300000000,0.4278434379141114
-9.200000000,0.43826440300862785
-9.100000000,0.4490862192916739
-9.000000000,0.4603306275883879
-8.900000000,0.47202093759652797
-8.800000000,0.48418217361551835
-8.700000000,0.4968412373297448
-8.600000000,0.5100270901168531
-8.500000000,0.523770957787125
-8.400000000,0.5381065611869726
-8.300000000,0.5530703767407638
-8.200000000,0.5687019317895553
-8.100000000,0.5850441405506064
-8.000000000,0.6021436877165696
-7.900000000,0.6200514682025041
-7.800000000,0.6388230934174783
-7.700000000,0.6585194767992175
-7.600000000,0.679207514358593
-7.500000000,0.700960879844194
-7.400000000,0.7238609591430285
-7.300000000,0.7479979550806192
-7.200000000,0.773472202433885
-7.100000000,0.8003957445239428
-7.000000000,0.8288942383695058
-6.900000000,0.8591092767514349
-6.800000000,0.8912012451933756
-6.700000000,0.9253528736374752
-6.600000000,0.9617737024195248
-6.500000000,1.0007057693929888
-6.400000000,1.0424309548649013
-6.300000000,1.0872806185268196
-6.200000000,1.1356484707328853
-6.100000000,1.1880081150885533
-6.000000000,1.2449375191864025
-5.900000000,1.307154080738766
-5.800000000,1.3755664897652646
-5.700000000,1.4513543760164793
-5.600000000,1.5360963528054477
-5.500000000,1.6319879078258208
-5.400000000,1.7422401937086036
-5.300000000,1.871884328710931
-5.200000000,2.0296320406431616
-5.100000000,2.2331996043132634
-5.000000000,2.53194510608624
-4.900000000,3.830316062733615
-4.800000000,4.166654614168213
-4.700000000,4.2073444262436075
-4.600000000,4.19867009443972
-4.500000000,4.167775115084763
-4.400000000,4.124321774024032
-4.300000000,4.072976225716856
-4.200000000,4.016392657871546
-4.100000000,3.956249817526607
-4.000000000,3.8936935084394593
-3.900000000,3.829552661065732
-3.800000000,3.764455364516341
-3.700000000,3.6988957334563586
-3.600000000,3.6332745716598636
-3.500000000,3.5679251481191114
-3.400000000,3.503130068152747
-3.300000000,3.439132591540208
-3.200000000,3.3761443714055015
-3.100000000,3.314350827707002
-3.000000000,3.253914931422308
-2.900000000,3.1949799130593552
-2.800000000,3.137671245646557
-2.700000000,3.0820981465230943
-2.600000000,3.028354770925568
-2.500000000,2.9765212202938236
-2.400000000,2.926664451674308
-2.300000000,2.878839147067795
-2.200000000,2.8330885803989188
-2.100000000,2.7894455034196937
-2.000000000,2.7479330593562192
-1.900000000,2.708565723849943
-1.800000000,2.6713502662705655
-1.700000000,2.636286720382966
-1.600000000,2.603369351239085
-1.500000000,2.5725876046488128
-1.400000000,2.5439270262690843
-1.300000000,2.517370138875452
-1.200000000,2.4928972684140556
-1.100000000,2.470487311694143
-1.000000000,2.4501184408507766
-0.900000000,2.4317687418173217
-0.800000000,2.4154167858876647
-0.700000000,2.4010421349559303
-0.600000000,2.3886257821699717
-0.500000000,2.3781505305296755
-0.400000000,2.3696013124243094
-0.300000000,2.362965453271461
-0.200000000,2.358232882336236
-0.100000000,2.3553962935168444
-0.000000000,2.354451258425989
0.100000000,2.3553962935168427
0.200000000,2.358232882336233
0.300000000,2.362965453271457
0.400000000,2.369601312424303
0.500000000,2.3781505305296755
0.600000000,2.388625782169962
0.700000000,2.4010421349559206
0.800000000,2.415416785887653
0.900000000,2.431768741817308
1.000000000,2.4501184408507766
1.100000000,2.4704873116941255
1.200000000,2.492897268414037
1.300000000,2.5173701388754313
1.400000000,2.5439270262690634
1.500000000,2.5725876046488128
1.600000000,2.6033693512390608
1.700000000,2.6362867203829388
1.800000000,2.6713502662705655
1.900000000,2.7085657238499126
2.000000000,2.7479330593562192
2.100000000,2.789445503419659
2.200000000,2.833088580398883
2.300000000,2.8788391470677577
2.400000000,2.926664451674268
2.500000000,2.9765212202938236
2.600000000,3.028354770925568
2.700000000,3.0820981465230486
2.800000000,3.1376712456465095
2.900000000,3.194979913059307
3.000000000,3.253914931422308
3.100000000,3.31435082770695
3.200000000,3.3761443714055015
3.300000000,3.439132591540153
3.400000000,3.5031300681526902
3.500000000,3.5679251481191216
3.600000000,3.6332745716598054
3.700000000,3.698895733456313
3.800000000,3.764455364516281
3.900000000,3.8295526610656707
4.000000000,3.8936935084394593
4.100000000,3.9562498175265586
4.200000000,4.016392657871486
4.300000000,4.072976225716811
4.400000000,4.124321774023974
4.500000000,4.167775115084703
4.600000000,4.198670094439668
4.700000000,4.2073444262436
4.800000000,4.1666546141682135
4.900000000,3.8303160627347466
5.000000000,2.53194510608624
5.100000000,2.23319960431341
5.200000000,2.029632040643285
5.300000000,1.8718843287110356
5.400000000,1.742240193708685
5.500000000,1.6319879078258248
5.600000000,1.5360963528055076
5.700000000,1.451354376016532
5.800000000,1.3755664897653173
5.900000000,1.307154080738813
6.000000000,1.2449375191864025
6.100000000,1.1880081150885915
6.200000000,1.13564847073292
6.300000000,1.0872806185268549
6.400000000,1.0424309548649304
6.500000000,1.0007057693930097
6.600000000,0.9617737024195521
6.700000000,0.9253528736375005
6.800000000,0.891201245193399
6.900000000,0.8591092767514545
7.000000000,0.8288942383695058
7.100000000,0.8003957445239616
7.200000000,0.7734722024339026
7.300000000,0.7479979550806356
7.400000000,0.7238609591430439
7.500000000,0.7009608798442084
7.600000000,0.6792075143586065
7.700000000,0.6585194767992305
7.800000000,0.6388230934174914
7.900000000,0.6200514682025169
8.000000000,0.6021436877165696
8.100000000,0.5850441405506175
8.200000000,0.5687019317895667
8.300000000,0.5530703767407749
8.400000000,0.5381065611869829
8.500000000,0.5237709577871341
8.600000000,0.5100270901168622
8.700000000,0.4968412373297542
8.800000000,0.48418217361552734
8.900000000,0.4720209375965367
9.000000000,0.4603306275883879
9.100000000,0.44908621929168235
9.200000000,0.43826440300863523
9.300000000,0.4278434379141184
9.400000000,0.41780302127157504
9.500000000,0.40812417078624874
9.600000000,0.39878911854064786
9.700000000,0.38978121516967296
9.800000000,0.3810848431128486
9.900000000,0.37268533793303743
