t,x,y,z,w
107.078500,3.064085,2.245568,0.000755,-0.766801
108.714000,-2.498458,-2.868925,-0.000345,0.599483
110.331500,1.796513,3.348034,-0.000906,-0.513407
110.332000,1.796580,3.348034,0.000768,-0.512509
111.943000,-1.002953,-3.657300,-0.000554,0.468455
113.552000,0.160057,3.780735,-0.000515,-0.452422
115.163000,0.688279,-3.712073,-0.000710,0.459978
116.778000,-1.498147,3.454994,0.000512,-0.493298
118.401500,2.226654,-3.023051,0.000020,0.562388
120.042000,-2.831170,2.439455,-0.000602,-0.694855
120.042500,-2.831001,2.439455,0.000618,-0.696270
121.723000,3.247845,-1.738548,0.000436,0.973185
121.723500,3.247383,-1.738548,-0.000433,0.974808
123.539500,-2.973322,0.995900,-0.000703,-1.694492
123.540000,-2.970886,0.995900,-0.000205,-1.695977
123.540500,-2.968444,0.995900,0.000293,-1.697461
123.541000,-2.965995,0.995899,0.000791,-1.698943
125.724000,-2.447218,-0.868955,0.000948,1.940703
125.724500,-2.450869,-0.868957,0.000514,1.939477
125.725000,-2.454513,-0.868957,0.000079,1.938249
125.725500,-2.458151,-0.868957,-0.000355,1.937019
125.726000,-2.461781,-0.868956,-0.000790,1.935787
127.608000,3.260561,1.580038,-0.000475,-1.064345
127.608500,3.261163,1.580038,0.000315,-1.062714
129.312500,-2.887793,-2.285527,-0.000120,0.733492
130.970500,2.303665,2.877866,-0.000773,-0.582101
130.971000,2.303763,2.877866,0.000666,-0.580949
132.613000,-1.590946,-3.319993,-0.000416,0.502849
134.249000,0.794287,3.587567,0.000331,-0.464536
135.883500,0.042409,-3.666272,0.000804,0.453730
137.520500,-0.874081,3.552006,-0.000392,-0.467317
139.163000,1.655888,-3.251049,0.000056,0.509649
140.816000,-2.344264,2.779914,-0.000980,-0.594057
140.816500,-2.344158,2.779914,0.000410,-0.595229
142.492500,2.893038,-2.165305,0.000129,0.762056
142.493000,2.892816,-2.165305,-0.000954,0.763502
144.228500,-3.199416,1.448471,-0.000348,-1.136384
144.229000,-3.198681,1.448471,0.000376,-1.137983
146.199000,1.687567,-0.783391,0.000968,2.095319
146.199500,1.682965,-0.783393,0.000576,2.096159
146.200000,1.678357,-0.783394,0.000184,2.096997
146.200500,1.673744,-0.783393,-0.000207,2.097833
146.201000,1.669125,-0.783393,-0.000599,2.098666
146.201500,1.664500,-0.783391,-0.000991,2.099497
148.383000,3.040564,1.090781,-0.000964,-1.504306
148.383500,3.042263,1.090782,-0.000419,-1.502784
148.384000,3.043958,1.090782,0.000126,-1.501262
148.384500,3.045647,1.090782,0.000672,-1.499738
150.196500,-3.050643,-1.816993,0.000781,0.900879
150.197000,-3.051007,-1.816993,-0.000128,0.899353
151.903500,2.582391,2.473126,-0.000830,-0.660471
151.904000,2.582534,2.473126,0.000406,-0.659179
153.579500,-1.946859,-2.998313,-0.000076,0.542954
155.243500,1.201729,3.360923,0.000020,-0.483467
156.903500,-0.391906,-3.540573,0.000293,0.458082
158.564000,-0.437071,3.527374,0.000120,-0.458885
160.228000,1.239080,-3.322190,0.000387,0.486120
161.900500,-1.968699,2.936649,-0.000038,-0.549011
163.589500,2.581117,-2.392947,0.000419,0.672021
163.590000,2.580965,-2.392947,-0.000777,0.673311
165.318000,-3.014259,1.725031,-0.000465,-0.930207
165.318500,-3.013856,1.725031,0.000398,-0.931714
167.176500,2.853688,-1.003882,0.000809,1.594151
167.177000,2.851659,-1.003882,0.000307,1.595576
167.177500,2.849626,-1.003883,-0.000194,1.597000
167.178000,2.847586,-1.003882,-0.000696,1.598424
169.417000,2.117107,0.823324,-0.000856,-1.942580
169.417500,2.120770,0.823325,-0.000444,-1.941519
169.418000,2.124426,0.823325,-0.000032,-1.940456
169.418500,2.128076,0.823325,0.000379,-1.939391
169.419000,2.131720,0.823324,0.000791,-1.938324
171.375500,-3.054250,-1.502602,0.000374,1.061510
171.376000,-3.054847,-1.502602,-0.000378,1.059982
173.135000,2.692573,2.185792,-0.000163,-0.727968
173.135500,2.692766,2.185792,0.000930,-0.726621
174.844500,-2.115722,-2.753894,-0.000278,0.576306
176.536000,1.411585,3.168442,-0.000918,-0.500534
176.536500,1.411647,3.168442,0.000667,-0.499828
178.222000,-0.627752,-3.404931,-0.000695,0.464367
179.906000,-0.189811,3.449800,-0.000924,-0.457524
179.906500,-0.189763,3.449800,0.000801,-0.457619
181.593500,0.993799,-3.300597,0.000085,0.477317
183.288000,-1.737548,2.966085,0.000280,-0.530324
184.997000,2.375230,-2.466071,-0.000110,0.636538
186.739000,-2.851757,1.831957,-0.000652,-0.854058
186.739500,-2.851445,1.831957,0.000264,-0.855483
188.583000,2.926631,-1.120760,0.000724,1.392959
188.583500,2.925277,-1.120760,0.000163,1.394422
188.584000,2.923920,-1.120760,-0.000397,1.395883
188.584500,2.922558,-1.120759,-0.000958,1.397344
190.799500,1.116748,0.740762,-0.000747,-2.105261
190.800000,1.121412,0.740763,-0.000377,-2.104699
190.800500,1.126072,0.740763,-0.000006,-2.104135
190.801000,1.130728,0.740763,0.000364,-2.103568
190.801500,1.135380,0.740762,0.000734,-2.102999
192.867500,-2.974708,-1.349507,0.000557,1.153340
192.868000,-2.975474,-1.349507,-0.000118,1.151852
192.868500,-2.976236,-1.349506,-0.000792,1.150364
194.670500,2.682030,2.035245,-0.000734,-0.763400
194.671000,2.682252,2.035245,0.000284,-0.762058
196.410000,-2.135394,-2.614317,0.000325,0.592685
196.410500,-2.135498,-2.614317,-0.000982,0.591617
198.128000,1.453008,3.043503,-0.000460,-0.508131
199.838500,-0.685142,-3.296294,-0.000481,0.467971
201.547000,-0.121129,3.357662,0.000361,-0.458659
203.258000,0.917679,-3.224086,-0.000136,0.476784
204.976000,-1.656709,2.903684,-0.000396,-0.528124
206.709000,2.291236,-2.416068,0.000699,0.633118
206.709500,2.291109,-2.416068,-0.000509,0.634263
208.476500,-2.764581,1.792920,-0.000644,-0.851439
208.477000,-2.764272,1.792920,0.000253,-0.852821
210.350000,2.826831,-1.092801,0.000713,1.393909
210.350500,2.825475,-1.092802,0.000167,1.395322
210.351000,2.824115,-1.092802,-0.000379,1.396734
210.351500,2.822750,-1.092801,-0.000926,1.398145
212.604000,1.205698,0.738931,-0.000739,-2.059302
212.604500,1.210062,0.738932,-0.000369,-2.058696
212.605000,1.214423,0.738932,0.000000,-2.058087
212.605500,1.218780,0.738932,0.000370,-2.057477
212.606000,1.223133,0.738931,0.000739,-2.056864
214.690000,-2.883011,-1.347443,0.000519,1.127018
214.690500,-2.883725,-1.347443,-0.000155,1.125576
214.691000,-2.884437,-1.347443,-0.000829,1.124134
216.515500,2.578712,2.019861,-0.000420,-0.750176
216.516000,2.578923,2.019861,0.000590,-0.748886
218.278000,-2.028442,-2.582421,0.000289,0.585457
220.019500,1.345643,2.992274,0.000091,-0.504083
221.753000,-0.581174,-3.223340,0.000598,0.467218
223.485500,-0.216597,3.261452,-0.000150,-0.460779
225.221000,0.998607,-3.104401,0.000050,0.483180
226.964500,-1.716220,2.762035,-0.000823,-0.541565
226.965000,-1.716141,2.762035,0.000558,-0.542423
228.726000,2.321040,-2.256112,0.000916,0.661451
228.726500,2.320895,-2.256112,-0.000212,0.662612
230.531000,-2.746253,1.621637,-0.000232,-0.919426
230.531500,-2.745863,1.621637,0.000579,-0.920799
232.481500,2.534560,-0.935900,0.000726,1.588534
232.482000,2.532553,-0.935901,0.000259,1.589800
232.482500,2.530542,-0.935901,-0.000209,1.591064
232.483000,2.528526,-0.935900,-0.000677,1.592328
234.820500,2.101650,0.822965,-0.000709,-1.805026
234.821000,2.104588,0.822966,-0.000298,-1.803973
234.821500,2.107521,0.822966,0.000113,-1.802919
234.822000,2.110449,0.822966,0.000525,-1.801863
234.822500,2.113371,0.822965,0.000936,-1.800805
236.839500,-2.767249,-1.481804,0.000846,1.000878
236.840000,-2.767749,-1.481805,0.000105,0.999494
236.840500,-2.768248,-1.481804,-0.000636,0.998110
238.668000,2.384134,2.123759,-0.000678,-0.696680
238.668500,2.384303,2.123759,0.000384,-0.695488
240.447500,-1.800179,-2.642028,0.000078,0.558418
242.209500,1.097914,2.998771,-0.000415,-0.491182
243.966000,-0.327725,-3.170877,-0.000367,0.463483
245.722000,-0.460912,3.147526,-0.000315,-0.466052
247.483000,1.217837,-2.930341,0.000208,0.499634
249.255000,-1.893795,2.533382,-0.000880,-0.576298
249.255500,-1.893700,2.533382,0.000386,-0.577245
251.052500,2.437091,-1.983154,0.000473,0.735087
251.053000,2.436892,-1.983154,-0.000518,0.736305
252.917500,-2.738184,1.323355,-0.000885,-1.098540
252.918000,-2.737520,1.323356,-0.000224,-1.099909
252.918500,-2.736854,1.323356,0.000438,-1.101277
255.051500,1.178239,-0.725588,0.000874,2.000734
255.052000,1.174232,-0.725590,0.000511,2.001320
255.052500,1.170223,-0.725590,0.000148,2.001904
255.053000,1.166209,-0.725590,-0.000214,2.002486
255.053500,1.162193,-0.725589,-0.000577,2.003066
255.054000,1.158173,-0.725588,-0.000940,2.003644
257.367000,2.643973,1.062103,-0.000548,-1.365229
257.367500,2.645243,1.062103,-0.000017,-1.363906
257.368000,2.646510,1.062103,0.000514,-1.362582
259.297500,-2.563322,-1.732162,0.000729,0.835725
259.298000,-2.563613,-1.732162,-0.000137,0.834443
261.122500,2.080492,2.317570,-0.000262,-0.622901
261.123000,2.080612,2.317570,0.000897,-0.621860
262.915500,-1.443152,-2.759553,0.000470,0.522224
262.916000,-1.443224,-2.759553,-0.000910,0.521502
264.697000,0.711144,3.027236,-0.000953,-0.475177
264.697500,0.711198,3.027236,0.000561,-0.474821
266.476000,0.065140,-3.103035,-0.000110,0.462508
268.257000,-0.834863,2.982130,0.000114,-0.480412
270.046000,1.547234,-2.672601,-0.000042,0.535063
271.852500,-2.151887,2.195325,-0.000975,-0.649215
271.853000,-2.151750,2.195326,0.000123,-0.650291
273.703500,2.581087,-1.585246,0.000406,0.898067
273.704000,2.580724,-1.585246,-0.000387,0.899357
275.702500,-2.401799,0.919364,-0.000707,-1.544711
275.703000,-2.399954,0.919365,-0.000248,-1.545911
275.703500,-2.398105,0.919365,0.000212,-1.547109
275.704000,-2.396251,0.919364,0.000672,-1.548307
278.098000,-1.965512,-0.802951,0.000863,1.767604
278.098500,-1.968271,-0.802952,0.000461,1.766620
278.099000,-1.971026,-0.802952,0.000060,1.765633
278.099500,-1.973776,-0.802952,-0.000342,1.764646
278.100000,-1.976521,-0.802951,-0.000743,1.763657
280.171000,2.608179,1.441970,-0.000843,-0.982540
280.171500,2.608653,1.441970,-0.000122,-0.981235
280.172000,2.609124,1.441970,0.000599,-0.979931
282.047000,-2.224415,-2.062024,0.000425,0.685214
282.047500,-2.224575,-2.062024,-0.000606,0.684102
283.872000,1.642572,2.555057,-0.000430,-0.551896
283.872500,1.642656,2.555057,0.000848,-0.551074
285.679500,-0.946417,-2.882953,0.000348,0.488111
287.481500,0.188275,3.023199,0.000464,-0.464490
289.283500,0.580315,-2.966465,0.000551,0.472442
289.284000,0.580262,-2.966465,-0.000932,0.472732
291.092000,-1.307378,2.716724,-0.000742,-0.514704
291.092500,-1.307310,2.716724,0.000617,-0.515358
292.915500,1.941625,-2.291202,0.000363,0.609309
292.916000,1.941512,-2.291202,-0.000782,0.610280
294.773500,-2.424149,1.720868,-0.000801,-0.809056
294.774000,-2.423884,1.720868,0.000059,-0.810267
294.774500,-2.423617,1.720868,0.000920,-0.811479
296.739000,2.534785,-1.063481,0.000587,1.307105
296.739500,2.533667,-1.063481,0.000055,1.308371
296.740000,2.532546,-1.063481,-0.000476,1.309637
299.094000,0.914273,0.702662,-0.000908,-1.976130
299.094500,0.918130,0.702663,-0.000556,-1.975670
299.095000,0.921985,0.702664,-0.000205,-1.975208
299.095500,0.925836,0.702664,0.000146,-1.974745
299.096000,0.929685,0.702664,0.000498,-1.974279
299.096500,0.933532,0.702662,0.000849,-1.973811
301.301500,-2.566482,-1.265200,0.000832,1.095949
301.302000,-2.567139,-1.265201,0.000200,1.094665
301.302500,-2.567794,-1.265201,-0.000433,1.093381
303.225500,2.266158,1.896388,-0.000713,-0.729555
303.226000,2.266352,1.896388,0.000235,-0.728422
305.080500,-1.721741,-2.412495,0.000859,0.572393
305.081000,-1.721834,-2.412495,-0.000347,0.571533
306.913000,1.050719,2.769212,-0.000637,-0.497477
306.913500,1.050781,2.769212,0.000747,-0.496952
308.738000,-0.308149,-2.941007,-0.000410,0.467312
