t,x,y,z,w
16.500000,-0.499002,-6.586772,-0.705392,1.257496
16.650000,-1.031881,-6.035152,-1.661633,1.146336
16.800000,-1.887167,-4.295827,-2.454860,0.930354
16.950000,-2.788106,-1.075344,-2.870882,0.576487
17.100000,-3.233084,2.490730,-2.755909,0.116918
17.250000,-3.130837,4.875356,-2.182629,-0.365376
17.400000,-2.823301,5.866587,-1.362849,-0.812181
17.550000,-2.530323,6.143136,-0.457131,-1.213471
17.700000,-2.102296,6.130166,0.466986,-1.564662
17.850000,-1.120945,5.577499,1.355482,-1.815662
18.000000,0.699474,3.851397,2.079322,-1.856155
18.150000,2.889523,0.962493,2.447862,-1.584091
18.300000,4.438931,-1.879012,2.367936,-1.020893
18.450000,4.989766,-3.603734,1.940144,-0.302853
18.600000,4.976786,-4.309002,1.337318,0.448389
18.750000,4.762103,-4.576175,0.668226,1.180977
18.900000,4.172447,-4.683137,-0.028657,1.858685
19.050000,2.617967,-4.389051,-0.717083,2.383003
19.200000,-0.182010,-3.236169,-1.300627,2.577223
19.350000,-3.318249,-1.344994,-1.647868,2.307523
19.500000,-5.411614,0.418234,-1.709375,1.633735
19.650000,-6.201548,1.466289,-1.558208,0.749388
19.800000,-6.309257,1.946464,-1.297476,-0.193661
19.950000,-6.120866,2.258318,-0.981960,-1.129796
20.100000,-5.341222,2.634271,-0.615844,-2.000731
20.250000,-3.271494,2.973895,-0.192606,-2.665195
20.400000,0.143739,2.926597,0.256715,-2.909203
20.550000,3.565293,2.367273,0.658446,-2.618290
20.700000,5.634837,1.647293,0.958292,-1.907448
20.850000,6.392099,1.118176,1.162265,-0.993128
21.000000,6.542236,0.772658,1.302926,-0.018842
21.150000,6.378202,0.340128,1.389437,0.955115
21.300000,5.492259,-0.504170,1.383330,1.858611
21.450000,3.232919,-1.821892,1.212330,2.530890
21.600000,-0.138146,-3.122187,0.835988,2.767458
21.750000,-3.160132,-3.789747,0.307658,2.504777
21.900000,-4.835515,-3.824411,-0.268922,1.887003
22.050000,-5.448926,-3.618009,-0.828039,1.106531
22.200000,-5.631039,-3.330547,-1.350794,0.272589
22.350000,-5.553940,-2.696104,-1.809875,-0.570960
22.500000,-4.805061,-1.218586,-2.115797,-1.359867
22.650000,-2.905972,1.193815,-2.124748,-1.951885
22.800000,-0.278554,3.655912,-1.752323,-2.191306
22.950000,1.895646,5.122919,-1.077953,-2.057122
23.100000,3.052601,5.561524,-0.266943,-1.673523
23.250000,3.520389,5.525205,0.567662,-1.175107
23.400000,3.767562,5.247710,1.379495,-0.627433
23.550000,3.918736,4.365082,2.111748,-0.048671
23.700000,3.685789,2.248179,2.624594,0.529132
23.850000,2.732816,-1.016716,2.723452,1.019290
24.000000,1.309370,-4.102261,2.325732,1.323340
24.150000,0.097573,-5.848591,1.560093,1.422223
24.300000,-0.595112,-6.414675,0.629788,1.378548
24.450000,-0.963804,-6.462385,-0.339655,1.259536
24.600000,-1.339699,-6.185230,-1.293807,1.088447
24.750000,-1.922241,-5.105772,-2.154878,0.846267
24.900000,-2.597561,-2.598021,-2.750458,0.505894
25.050000,-2.965875,0.951311,-2.876638,0.082191
25.200000,-2.820995,4.001848,-2.488066,-0.357338
25.350000,-2.419711,5.612742,-1.748366,-0.750999
25.500000,-2.061273,6.150673,-0.857125,-1.085615
25.650000,-1.737549,6.253880,0.076460,-1.371273
25.800000,-1.154245,6.023684,1.003455,-1.593628
25.950000,0.054167,4.949379,1.840838,-1.684756
26.100000,1.862054,2.545411,2.417916,-1.544446
26.250000,3.548513,-0.590681,2.563342,-1.130454
26.400000,4.412642,-3.074202,2.272346,-0.521433
26.550000,4.547577,-4.327660,1.702643,0.156796
26.700000,4.395876,-4.784233,1.013023,0.829173
26.850000,4.075760,-4.957345,0.280360,1.467772
27.000000,3.226172,-4.894010,-0.463305,2.025258
27.150000,1.317653,-4.173890,-1.154559,2.380190
27.300000,-1.531094,-2.474253,-1.663548,2.368928
27.450000,-4.157610,-0.322742,-1.871402,1.929623
27.600000,-5.585256,1.328107,-1.784947,1.181982
27.750000,-5.989507,2.178094,-1.512915,0.304927
27.900000,-5.956255,2.560658,-1.154252,-0.594084
28.050000,-5.624967,2.850615,-0.748501,-1.467988
28.200000,-4.525296,3.140379,-0.298152,-2.242825
28.350000,-2.064715,3.182042,0.181553,-2.754002
28.500000,1.393450,2.674957,0.627865,-2.806947
28.650000,4.367563,1.769912,0.962746,-2.358178
28.800000,5.921971,0.949795,1.162807,-1.568004
28.950000,6.405963,0.442474,1.263343,-0.634420
29.100000,6.448145,0.102757,1.303748,0.333012
29.250000,6.134594,-0.370832,1.286986,1.283265
29.400000,4.929621,-1.215669,1.172697,2.128211
29.550000,2.314591,-2.330949,0.906908,2.687564
29.700000,-1.107556,-3.203015,0.484840,2.777237
29.850000,-3.842748,-3.461311,-0.022689,2.388403
30.000000,-5.215219,-3.294339,-0.532133,1.692681
30.150000,-5.678437,-3.032903,-1.006655,0.868400
30.300000,-5.791838,-2.704614,-1.438991,0.005355
30.450000,-5.585422,-1.987159,-1.798313,-0.854118
30.600000,-4.563591,-0.460554,-1.992709,-1.628806
30.750000,-2.357091,1.790732,-1.896612,-2.160292
30.900000,0.385875,3.859707,-1.462649,-2.305446
31.050000,2.473842,4.950061,-0.788023,-2.076638
31.200000,3.515894,5.197665,-0.019666,-1.615509
31.350000,3.925352,5.095789,0.754639,-1.052684
31.500000,4.136296,4.762880,1.498263,-0.446793
31.650000,4.188064,3.791144,2.151302,0.181124
31.800000,3.729484,1.629351,2.573162,0.783863
31.950000,2.485744,-1.497079,2.586910,1.258465
32.100000,0.859629,-4.290329,2.138475,1.508345
32.250000,-0.418191,-5.789027,1.364886,1.533404
32.400000,-1.110477,-6.237775,0.453798,1.412064
32.550000,-1.470831,-6.239202,-0.485261,1.216395
32.700000,-1.825962,-5.915594,-1.402683,0.970396
32.850000,-2.318000,-4.776415,-2.218740,0.660777
33.000000,-2.777622,-2.253417,-2.762703,0.275721
33.150000,-2.851390,1.214363,-2.842230,-0.152922
33.300000,-2.468611,4.142020,-2.423610,-0.555896
33.450000,-1.949727,5.670798,-1.669799,-0.886438
33.600000,-1.553122,6.172582,-0.772956,-1.147063
33.750000,-1.224326,6.253413,0.162226,-1.355799
33.900000,-0.676318,5.996781,1.087206,-1.503052
34.050000,0.403624,4.900293,1.918712,-1.530689
34.200000,1.969716,2.487453,2.487678,-1.355122
34.350000,3.393275,-0.671711,2.623086,-0.945442
34.500000,4.085465,-3.209372,2.316084,-0.374114
34.650000,4.145019,-4.512671,1.722030,0.248446
34.800000,3.966980,-4.987078,1.002888,0.858052
34.950000,3.656628,-5.150548,0.240280,1.432447
35.100000,2.894900,-5.067216,-0.530875,1.932324
35.250000,1.196301,-4.326326,-1.246617,2.251958
35.400000,-1.393086,-2.574582,-1.775304,2.242516
35.550000,-3.870305,-0.294971,-1.989471,1.837177
35.700000,-5.279179,1.516459,-1.886522,1.135089
35.850000,-5.697312,2.474939,-1.577091,0.302817
36.000000,-5.669565,2.891553,-1.170491,-0.552757
36.150000,-5.381769,3.159547,-0.716193,-1.385935
36.300000,-4.449301,3.389378,-0.223643,-2.134946
36.450000,-2.282711,3.344333,0.287179,-2.656162
36.600000,0.958425,2.718163,0.749360,-2.760869
36.750000,3.968366,1.655261,1.079141,-2.377594
36.900000,5.679582,0.681906,1.249966,-1.635505
37.050000,6.261430,0.080212,1.302272,-0.729736
37.200000,6.337953,-0.275766,1.286084,0.218860
37.350000,6.104057,-0.676180,1.216848,1.157191
37.500000,5.134582,-1.351946,1.068460,2.013144
37.650000,2.842790,-2.258061,0.798211,2.628202
37.800000,-0.474557,-2.985659,0.399211,2.809534
37.950000,-3.432576,-3.179225,-0.070216,2.501663
38.100000,-5.086484,-2.967523,-0.533958,1.845092
38.250000,-5.692323,-2.671551,-0.956504,1.027464
38.400000,-5.850317,-2.370423,-1.335436,0.158560
38.550000,-5.733538,-1.822365,-1.655175,-0.714956
38.700000,-4.950978,-0.634160,-1.848810,-1.528094
38.850000,-3.008055,1.284547,-1.805849,-2.139297
39.000000,-0.238862,3.281841,-1.457072,-2.384988
39.150000,2.172869,4.507363,-0.859903,-2.227341
39.300000,3.525935,4.866282,-0.148388,-1.786062
39.450000,4.073665,4.801915,0.579439,-1.209179
39.600000,4.307913,4.554613,1.283769,-0.578617
39.750000,4.397014,3.879394,1.924574,0.076896
39.900000,4.075849,2.236167,2.397399,0.720165
40.050000,2.966795,-0.502116,2.536295,1.258465
40.200000,1.250827,-3.395473,2.235628,1.577193
40.350000,-0.310061,-5.263107,1.568796,1.640516
40.500000,-1.246725,-5.963645,0.715027,1.515321
40.650000,-1.698880,-6.060127,-0.191054,1.290323
40.800000,-2.012603,-5.878755,-1.090162,1.011936
40.950000,-2.400199,-5.152715,-1.927729,0.682002
41.100000,-2.790575,-3.265886,-2.575769,0.290849
41.250000,-2.870159,-0.138617,-2.840431,-0.139623
41.400000,-2.469438,3.093939,-2.608618,-0.545119
41.550000,-1.845436,5.167937,-1.970037,-0.868665
41.700000,-1.335046,6.000618,-1.120043,-1.104446
41.850000,-0.988882,6.202759,-0.200247,-1.277410
42.000000,-0.595613,6.116011,0.727503,-1.398560
42.150000,0.151366,5.477813,1.607333,-1.437596
42.300000,1.389882,3.694982,2.311431,-1.326653
42.450000,2.769632,0.752988,2.653102,-1.011606
42.600000,3.657593,-2.225828,2.532562,-0.520176
42.750000,3.869158,-4.125653,2.039173,0.051402
42.900000,3.726251,-4.931461,1.349164,0.623092
43.050000,3.484881,-5.201274,0.585460,1.164852
43.200000,3.028103,-5.251698,-0.201344,1.658012
43.350000,1.932638,-4.885834,-0.969692,2.040469
43.500000,-0.104823,-3.621057,-1.620530,2.187653
43.650000,-2.606947,-1.440582,-2.006634,1.982193
43.800000,-4.503191,0.794269,-2.047895,1.434978
43.950000,-5.327069,2.256218,-1.806842,0.685169
44.100000,-5.460561,2.934299,-1.409854,-0.129167
44.250000,-5.321674,3.246473,-0.944050,-0.940288
44.400000,-4.844931,3.480003,-0.438951,-1.709324
44.550000,-3.512939,3.575237,0.093742,-2.350015
44.700000,-0.937534,3.203512,0.609846,-2.697118
44.850000,2.254658,2.218375,1.022291,-2.595950
45.000000,4.716641,1.021406,1.263482,-2.056116
45.150000,5.880593,0.125017,1.343571,-1.246018
45.300000,6.194310,-0.375362,1.320648,-0.333653
45.450000,6.159589,-0.710089,1.238880,0.596006
45.600000,5.738972,-1.158149,1.101322,1.495670
45.750000,4.386642,-1.849141,0.878146,2.270103
45.900000,1.710780,-2.596357,0.542557,2.741316
46.050000,-1.586734,-2.993719,0.116693,2.747764
46.200000,-4.123632,-2.899261,-0.330289,2.302281
46.350000,-5.367537,-2.573938,-0.741424,1.575318
46.500000,-5.776020,-2.264106,-1.103472,0.732892
46.650000,-5.851259,-1.928536,-1.419496,-0.142015
46.800000,-5.589192,-1.270525,-1.665533,-1.006445
46.950000,-4.505407,0.038834,-1.766375,-1.776901
47.100000,-2.251939,1.902203,-1.623255,-2.295978
47.250000,0.550023,3.584795,-1.203158,-2.421325
47.400000,2.726470,4.450925,-0.588937,-2.161385
47.550000,3.842292,4.612559,0.096918,-1.656295
47.700000,4.276931,4.482928,0.780897,-1.041962
47.850000,4.467851,4.175837,1.433501,-0.384384
48.000000,4.473338,3.366362,2.008361,0.289965
48.150000,3.956460,1.564920,2.391563,0.931288
48.300000,2.610856,-1.160159,2.427370,1.433214
48.450000,0.789769,-3.778798,2.046266,1.688258
48.600000,-0.718684,-5.317652,1.347801,1.685099
48.750000,-1.568610,-5.830504,0.502054,1.505454
48.900000,-1.977475,-5.858259,-0.378049,1.236078
49.050000,-2.282354,-5.618743,-1.242965,0.916722
49.200000,-2.640271,-4.776089,-2.033519,0.547870
49.350000,-2.918266,-2.756971,-2.614431,0.127935
49.500000,-2.808480,0.365873,-2.800500,-0.307851
49.650000,-2.242957,3.406516,-2.505877,-0.690651
49.800000,-1.549115,5.260847,-1.837811,-0.973793
49.950000,-1.031808,5.971672,-0.984413,-1.164213
50.100000,-0.687054,6.127992,-0.072924,-1.291908
50.250000,-0.285892,6.001989,0.840932,-1.367234
50.400000,0.451340,5.291834,1.698639,-1.360002
50.550000,1.607997,3.433408,2.368696,-1.209049
50.700000,2.819679,0.489736,2.669734,-0.873215
50.850000,3.532822,-2.408564,2.515193,-0.388063
51.000000,3.642292,-4.225111,2.001106,0.156045
51.150000,3.463263,-4.988819,1.299848,0.690427
51.300000,3.210714,-5.241581,0.528953,1.191766
51.450000,2.753531,-5.273277,-0.262619,1.643556
51.600000,1.693961,-4.877011,-1.032022,1.986815
51.750000,-0.236385,-3.581796,-1.679124,2.105341
51.900000,-2.585031,-1.381783,-2.057760,1.891651
52.050000,-4.363160,0.872794,-2.088802,1.357492
52.200000,-5.136195,2.359693,-1.834090,0.633233
52.350000,-5.255052,3.055644,-1.420064,-0.151141
52.500000,-5.114514,3.369694,-0.935699,-0.931139
52.650000,-4.665496,3.588540,-0.413038,-1.670579
52.800000,-3.431530,3.658152,0.134081,-2.290681
52.950000,-1.020709,3.256654,0.660429,-2.637631
53.100000,2.044780,2.229488,1.077937,-2.559782
53.250000,4.496964,0.968237,1.316162,-2.053509
53.400000,5.709517,0.005789,1.383103,-1.272810
53.550000,6.055604,-0.534523,1.338849,-0.383292
53.700000,6.038461,-0.871142,1.232552,0.526792
53.850000,5.679207,-1.277826,1.073401,1.411903
54.000000,4.491673,-1.888955,0.837960,2.188435
54.150000,2.032661,-2.552360,0.502991,2.692168
54.300000,-1.180492,-2.900298,0.087941,2.755930
54.450000,-3.824693,-2.779523,-0.342970,2.364954
54.600000,-5.216556,-2.425532,-0.734036,1.671140
54.750000,-5.703194,-2.093445,-1.071887,0.844491
54.900000,-5.810389,-1.776261,-1.362921,-0.021984
55.050000,-5.625123,-1.220121,-1.592545,-0.884894
55.200000,-4.735359,-0.102773,-1.699549,-1.673921
55.350000,-2.711581,1.582621,-1.592347,-2.245755
55.500000,0.047907,3.239600,-1.224302,-2.446613
55.650000,2.404038,4.195157,-0.655616,-2.250126
55.800000,3.722997,4.427629,-0.002047,-1.777160
55.950000,4.259383,4.322166,0.656278,-1.171692
56.100000,4.478518,4.067402,1.287703,-0.514225
56.250000,4.533556,3.441041,1.857982,0.164553
56.400000,4.165421,1.973697,2.276417,0.824820
56.550000,3.005259,-0.469959,2.397491,1.372812
56.700000,1.212120,-3.116742,2.122058,1.692000
56.850000,-0.460667,-4.901715,1.505169,1.741293
57.000000,-1.497742,-5.611021,0.705349,1.585443
57.150000,-1.998631,-5.719669,-0.148880,1.318369
57.300000,-2.301771,-5.566457,-0.998373,0.995092
57.450000,-2.624454,-4.980277,-1.797534,0.626075
57.600000,-2.915232,-3.419232,-2.442193,0.208583
57.750000,-2.892987,-0.657046,-2.758955,-0.232801
57.900000,-2.390496,2.472723,-2.617040,-0.634178
58.050000,-1.651056,4.713530,-2.060886,-0.937271
58.200000,-1.037590,5.729180,-1.264147,-1.135679
58.350000,-0.643949,6.013210,-0.377804,-1.259494
58.500000,-0.300030,5.989984,0.525542,-1.331144
58.650000,0.263647,5.564709,1.399695,-1.337929
58.800000,1.220120,4.216812,2.147631,-1.231014
58.950000,2.387903,1.664721,2.600534,-0.959543
59.100000,3.251844,-1.354104,2.619876,-0.529266
59.250000,3.519010,-3.621951,2.230993,-0.014281
59.400000,3.391296,-4.743241,1.590451,0.506664
59.550000,3.156652,-5.143687,0.843197,0.998116
59.700000,2.826471,-5.260866,0.060447,1.449150
59.850000,2.105540,-5.099629,-0.721901,1.826200
60.000000,0.622436,-4.254625,-1.434678,2.040838
60.150000,-1.544538,-2.419942,-1.945893,1.975398
60.300000,-3.591172,-0.078609,-2.132209,1.581457
60.450000,-4.760393,1.806687,-1.991397,0.941997
60.600000,-5.099729,2.833510,-1.632948,0.194747
60.750000,-5.050794,3.278559,-1.169790,-0.569210
60.900000,-4.792101,3.523033,-0.658568,-1.310684
61.050000,-4.042875,3.683461,-0.116271,-1.982298
61.200000,-2.298326,3.544490,0.431742,-2.471747
61.350000,0.466163,2.804396,0.915784,-2.616511
61.500000,3.290244,1.573035,1.246594,-2.325869
61.650000,5.105725,0.394257,1.389544,-1.679613
61.800000,5.821112,-0.366625,1.385641,-0.848965
61.950000,5.956527,-0.780494,1.296623,0.038642
62.100000,5.819275,-1.114247,1.155030,0.925320
62.250000,5.190264,-1.588677,0.954566,1.760127
62.400000,3.523306,-2.218767,0.669545,2.428689
62.550000,0.695138,-2.736946,0.293824,2.754638
62.700000,-2.358030,-2.834117,-0.130067,2.622514
62.850000,-4.461098,-2.550428,-0.536793,2.094214
63.000000,-5.406016,-2.175444,-0.890611,1.341841
63.150000,-5.696097,-1.862486,-1.192665,0.504192
63.300000,-5.710839,-1.498051,-1.446768,-0.354279
63.450000,-5.336171,-0.787531,-1.624205,-1.190146
63.600000,-4.086117,0.511635,-1.651795,-1.910148
63.750000,-1.751469,2.198876,-1.448780,-2.358060
63.900000,0.943048,3.589723,-1.005878,-2.414355
64.050000,2.934453,4.227106,-0.409831,-2.109613
64.200000,3.929964,4.290691,0.233668,-1.583564
64.350000,4.320013,4.132049,0.866803,-0.960089
64.500000,4.488885,3.805979,1.465345,-0.297666
64.650000,4.454733,2.994647,1.984040,0.377162
64.800000,3.883612,1.274297,2.316118,1.011570
64.950000,2.507081,-1.253589,2.322089,1.499739
